"session","date","type","title","result","totalvotes","d-yes","r-yes","i-yes","d-no","r-no","i-no","d-nv","r-nv","i-nv"
"102","1991-06-03 17:01:00","s","SUSPEND THE RULES AND PASS: S 483 TACONIC MOUNTAINS PROTECTION ACT OF 1991","Passed 316-15, 100 not voting","431","199","115","2","0","15","0","64","34","2"
"102","1991-06-04 19:46:00","h","Amendment 1 to H.R. 1","Failed 152-277, 2 not voting","431","143","6","3","118","158","1","2","0","0"
"102","1991-06-04 21:28:00","h","Amendment 2 to H.R. 1","Failed 162-266, 3 not voting","431","16","145","1","244","19","3","3","0","0"
"102","1991-01-23 16:02:00","h","On Passage - House - H.R. 4 EXTENSION OF TIME UNDER THE INTERNAL REVENUE LAWS FOR INDIVIDUALS PERFORMING SERVICES AS PART OF THE DESERT SHIELD OPERATION - Under Suspension of the Rules","Passed 415-0, 19 not voting (2/3 required)","434","248","163","4","0","0","0","16","3","0"
"102","1991-06-05 12:30:00","h","Amendment 3 to H.R. 1","Agreed to 264-166, 1 not voting","431","239","22","3","23","142","1","1","0","0"
"102","1991-06-05 12:55:00","h","On Passage - House - H.R. 1 CIVIL RIGHTS ACT OF 1991","Passed 273-158, 1 not voting","432","248","22","3","15","142","1","1","0","0"
"102","1991-06-05 14:08:00","h","ON AGREEING TO THE AMENDMENTS: Amendment 1 to H.R. 2506","Failed 150-276, 5 not voting","431","23","127","0","235","37","4","5","0","0"
"102","1991-06-05 14:51:00","h","Amendment 2 to H.R. 2506","Failed 198-227, 6 not voting","431","55","142","1","203","21","3","5","1","0"
"102","1991-06-05 15:53:00","h","Amendment 3 to H.R. 2506","Failed 171-255, 5 not voting","431","33","138","0","226","25","4","4","1","0"
"102","1991-06-05 17:29:00","h","Amendment 4 to H.R. 2506","Failed 130-294, 7 not voting","431","2","128","0","254","36","4","7","0","0"
"102","1991-06-05 18:15:00","h","On Passage - House - H.R. 2506 LEGISLATIVE BRANCH APPROPRIATION, FY 1992","Passed 308-110, 13 not voting","431","246","58","4","6","104","0","11","2","0"
"102","1991-01-23 16:10:00","h","On Passage - House - H.R. 3 VETERANS’ COMPENSATION AMENDMENTS OF 1991 - Under Suspension of the Rules","Passed 421-0, 13 not voting (2/3 required)","434","253","164","4","0","0","0","11","2","0"
"102","1991-06-06 17:00:00","h","Amendment 2 to H.R. 2519","Failed 122-296, 13 not voting","431","108","12","2","143","152","1","12","0","1"
"102","1991-06-06 19:25:00","h","ON AGREEING TO THE AMENDMENTS: Amendment 1 to H.R. 2519","Agreed to 240-173, 18 not voting","431","107","132","1","144","27","2","12","5","1"
"102","1991-06-06 21:02:00","h","ON AGREEING TO THE AMENDMENTS: Amendment 3 to H.R. 2519","Agreed to 216-183, 32 not voting","431","65","150","1","176","5","2","22","9","1"
"102","1991-06-06 21:56:00","h","On Passage - House - H.R. 2519 VA, HUD APPROPRIATIONS FOR FISCAL YEAR 1992","Passed 363-39, 29 not voting","431","219","141","3","23","16","0","21","7","1"
"102","1991-06-07 11:56:00","h","Amendment 1 to H.R. 2521","Failed 155-229, 47 not voting","431","139","14","2","91","138","0","33","12","2"
"102","1991-06-07 12:51:00","h","On Passage - House - H.R. 2521 DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FY 1992","Passed 273-105, 53 not voting","431","196","76","1","30","74","1","37","14","2"
"102","1991-06-11 16:40:00","h","Amendment 2 to H.R. 2038","Failed 169-234, 28 not voting","431","41","128","0","210","21","3","12","15","1"
"102","1991-06-11 17:18:00","h","On Passage - House - H.R. 26 MONEY LAUNDERING ENFORCEMENT AMENDMENTS OF 1991 - Under Suspension of the Rules","Passed 406-0, 25 not voting (2/3 required)","431","251","151","4","0","0","0","12","13","0"
"102","1991-06-12 13:39:00","h","Amendment 3 to H.R. 2508","Agreed to 234-188, 9 not voting","431","191","40","3","67","120","1","5","4","0"
"102","1991-06-12 14:51:00","h","Amendment 4 to H.R. 2508","Agreed to 222-200, 9 not voting","431","184","35","3","74","125","1","5","4","0"
"102","1991-06-12 16:07:00","h","Amendment 5 to H.R. 2508","Failed 175-246, 10 not voting","431","78","96","1","180","63","3","5","5","0"
"102","1991-06-12 19:21:00","h","Amendment 12 to H.R. 2508","Failed 151-252, 28 not voting","431","35","115","1","212","37","3","16","12","0"
"102","1991-06-13 15:13:00","h","Amendment 2 to H.R. 2608","Failed 122-295, 14 not voting","431","16","106","0","237","54","4","10","4","0"
"102","1991-06-13 15:42:00","h","On Motion to Recommit with Instructions: H.R. 2608 DEPARTMENTS OF COMMERCE, JUSTICE, AND STATE, JUDICIARY APPROPRIATIONS FOR FY 1992","Failed 151-267, 13 not voting","431","13","137","1","241","23","3","9","4","0"
"102","1991-06-13 15:50:00","h","On Passage - House - H.R. 2608 DEPARTMENTS OF COMMERCE, JUSTICE, AND STATE, JUDICIARY APPROPRIATIONS FOR FY 1992","Passed 338-80, 13 not voting","431","245","89","4","10","70","0","8","5","0"
"102","1991-06-13 17:21:00","h","ON AGREEING TO THE AMENDMENT: Amendment 13 to H.R. 2508","Agreed to 242-141, 48 not voting","431","126","114","2","104","35","2","33","15","0"
"102","1991-06-18 16:53:00","h","Amendment 1 to H.R. 2622","Agreed to 411-1, 20 not voting","432","251","156","4","0","1","0","13","7","0"
"102","1991-01-29 14:26:00","h","On Passage - House - H.R. 556 AGENT ORANGE ACT OF 1991 - Under Suspension of the Rules","Passed 412-0, 22 not voting (2/3 required)","434","249","159","4","0","0","0","15","7","0"
"102","1991-06-18 17:26:00","h","Amendment 2 to H.R. 2622","Agreed to 411-0, 21 not voting","432","250","157","4","0","0","0","14","7","0"
"102","1991-06-18 17:52:00","h","Amendment 2 to H.R. 2622","Agreed to 412-0, 20 not voting","432","249","159","4","0","0","0","15","5","0"
"102","1991-06-18 18:38:00","h","Amendment 4 to H.R. 2622","Agreed to 397-15, 20 not voting","432","234","159","4","15","0","0","15","5","0"
"102","1991-06-18 22:02:00","h","Amendment 6 to H.R. 2622","Agreed to 341-52, 39 not voting","432","185","152","4","52","0","0","27","12","0"
"102","1991-06-18 22:23:00","h","On Passage - House - H.R. 2622 TREASURY, POSTAL SERVICE, EXECUTIVE AND INDEPENDENT AGENCIES APPROPRIATIONS FOR FISCAL YEAR 1992","Passed 349-48, 35 not voting","432","237","108","4","4","44","0","23","12","0"
"102","1991-06-19 11:26:00","h","Amendment 16 to H.R. 2508","Failed 150-267, 15 not voting","432","5","144","1","249","15","3","10","5","0"
"102","1991-06-19 11:43:00","h","Amendment 14 to H.R. 2508","Agreed to 216-203, 13 not voting","432","82","134","0","173","26","4","9","4","0"
"102","1991-06-19 12:42:00","h","Amendment 19 to H.R. 2508","Agreed to 315-105, 12 not voting","432","213","100","2","44","60","1","7","4","1"
"102","1991-06-19 13:08:00","h","Amendment 21 to H.R. 2508","Agreed to 289-135, 8 not voting","432","208","78","3","51","83","1","5","3","0"
"102","1991-01-29 14:35:00","h","On Passage - House - H.R. 555 SOLDIERS AND SAILORS CIVIL RELIEF ACT AMENDMENTS OF 1991 - Under Suspension of the Rules","Passed 414-0, 20 not voting (2/3 required)","434","250","160","4","0","0","0","14","6","0"
"102","1991-06-19 13:33:00","h","Amendment 23 to H.R. 2508","Agreed to 410-8, 14 not voting","432","249","157","4","7","1","0","8","6","0"
"102","1991-06-19 13:55:00","h","Amendment 18 to H.R. 2508","Agreed to 410-4, 18 not voting","432","247","159","4","4","0","0","11","5","0"
"102","1991-06-19 14:50:00","h","Amendment 25 to H.R. 2508","Agreed to 421-1, 10 not voting","432","256","161","4","1","0","0","6","3","0"
"102","1991-06-19 15:01:00","h","Amendment 27 to H.R. 2508","Failed 44-378, 10 not voting","432","32","10","2","226","150","2","6","3","0"
"102","1991-06-19 15:40:00","h","Amendment 28 to H.R. 2508","Agreed to 289-127, 16 not voting","432","213","72","4","39","88","0","12","3","0"
"102","1991-06-19 16:34:00","h","Amendment 30 to H.R. 2508","Failed 130-286, 16 not voting","432","125","2","3","129","156","1","10","6","0"
"102","1991-06-19 17:07:00","h","Amendment 29 to H.R. 2508","Agreed to 374-41, 17 not voting","432","213","158","3","39","1","1","12","5","0"
"102","1991-06-19 17:15:00","h","Amendment 32 to H.R. 2508","Agreed to 386-29, 17 not voting","432","226","157","3","27","1","1","11","6","0"
"102","1991-06-19 18:03:00","h","Amendment 34 to H.R. 2508","Agreed to 271-144, 17 not voting","432","199","69","3","56","87","1","9","7","0"
"102","1991-06-19 18:37:00","h","Amendment 35 to H.R. 2508","Failed 182-229, 21 not voting","432","72","110","0","180","45","4","12","8","0"
"102","1991-01-30 15:36:00","h","On Passage - House - H.R. 598 DEPARTMENT OF VETERANS AFFAIRS PHYSICIANS’ AND DENTISTS’ COMPENSATION AND LABOR RELATIONS ACT OF 1991 - Under Suspension of the Rules","Passed 399-0, 35 not voting (2/3 required)","434","233","162","4","0","0","0","31","4","0"
"102","1991-06-19 21:36:00","h","On Passage - House - H.R. 2621 FOREIGN OPERATIONS, EXPORT FINANCING, AND RELATED PROGRAMS APPROPRIATIONS ACT, 1992","Passed 301-102, 29 not voting","432","195","102","4","50","52","0","19","10","0"
"102","1991-06-20 12:05:00","h","Amendment 40 to H.R. 2508","Failed 16-399, 17 not voting","432","16","0","0","238","157","4","10","7","0"
"102","1991-06-20 12:45:00","h","ON AGREEING TO THE AMENDMENT: Amendment 41 to H.R. 2508","Agreed to 279-134, 19 not voting","432","127","151","1","126","5","3","11","8","0"
"102","1991-06-20 13:04:00","h","Amendment 38 to H.R. 2508","Agreed to 410-0, 22 not voting","432","251","155","4","0","0","0","13","9","0"
"102","1991-06-20 13:41:00","h","On Passage - House - H.R. 2508 FOREIGN ASSISTANCE AUTHORIZATION FOR FY 1992 AND 1993","Passed 274-138, 20 not voting","432","194","77","3","58","79","1","12","8","0"
"102","1991-06-20 15:32:00","h","Amendment 1 to H.R. 429","Agreed to 300-95, 37 not voting","432","220","76","4","21","74","0","23","14","0"
"102","1991-06-20 16:42:00","h","On Passage - House - H.R. 429 RECLAMATION PROJECTS AUTHORIZATION AND ADJUSTMENT ACT OF 1991","Passed 360-24, 48 not voting","432","234","122","4","3","21","0","27","21","0"
"102","1991-02-05 13:35:00","h","On Passage - House - H.R. 180 VETERANS EDUCATION AND EMPLOYMENT AMENDMENTS OF 1991 - Under Suspension of the Rules","Passed 402-0, 32 not voting (2/3 required)","434","242","156","4","0","0","0","22","10","0"
"102","1991-06-25 13:33:00","h","Amendment 1 to H.R. 2686","Failed 104-318, 10 not voting","432","9","95","0","248","66","4","7","3","0"
"102","1991-06-25 14:43:00","h","Amendment 2 to H.R. 2686","Failed 92-323, 17 not voting","432","9","83","0","239","80","4","16","1","0"
"102","1991-06-25 15:46:00","h","Amendment 3 to H.R. 2686","Failed 66-361, 5 not voting","432","12","54","0","248","109","4","4","1","0"
"102","1991-06-25 16:43:00","h","Amendment 5 to H.R. 2686","Failed 196-228, 8 not voting","432","72","124","0","187","37","4","5","3","0"
"102","1991-06-25 18:30:00","h","Amendment 7 to H.R. 2686","Agreed to 232-192, 8 not voting","432","182","47","3","78","113","1","4","4","0"
"102","1991-06-25 19:06:00","h","Amendment 9 to H.R. 2686","Failed 169-249, 14 not voting","432","42","127","0","215","30","4","7","7","0"
"102","1991-06-25 19:28:00","h","On Passage - House - H.R. 2686 DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS ACT, 1992","Passed 345-76, 11 not voting","432","250","91","4","10","66","0","4","7","0"
"102","1991-06-26 11:46:00","h","Amendment 2 to H.R. 2699","Failed 153-270, 9 not voting","432","39","113","1","222","45","3","3","6","0"
"102","1991-06-26 12:32:00","h","On Passage - House - H.R. 2699 DISTRICT OF COLUMBIA APPROPRIATIONS ACT, 1992","Passed 300-123, 9 not voting","432","243","53","4","18","105","0","3","6","0"
"102","1991-06-26 14:19:00","h","Amendment 1 to H.R. 2707","Failed 55-366, 11 not voting","432","1","54","0","259","103","4","4","7","0"
"102","1991-02-05 13:44:00","h","On Passage - House - H.R. 154 TRANSFER OF AN EXISTING U.S. MEMORIAL, PERSHING HALL, TO THE DEPARTMENT OF VETERANS AFFAIRS - Under Suspension of the Rules","Passed 405-0, 29 not voting (2/3 required)","434","242","159","4","0","0","0","22","7","0"
"102","1991-06-26 16:46:00","h","On Passage - House - H.R. 2707 DEPARTMENT OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS ACT, 1992","Passed 353-74, 5 not voting","432","255","94","4","8","66","0","1","4","0"
"102","1991-06-26 19:33:00","h","On Passage - House - H.R. 2698 AGRICULTURE APPROPRIATIONS FOR FY 1992","Passed 368-48, 16 not voting","432","245","119","4","7","41","0","12","4","0"
"102","1991-07-10 16:33:00","hj","On Passage - House - H J RES 263 DISAPPROVING THE EXTENTION OF MOST FAVORED NATION TREATMENT TO THE PRODUCTS OF CHINA","Passed 223-204, 6 not voting","433","169","51","3","92","111","1","3","3","0"
"102","1991-07-10 19:36:00","h","On Motion to Recommit with Instructions: H.R. 2212 REGARDING THE EXTENTION OF MOST FAVORED NATION TREATMENT TO THE PRODUCTS OF CHINA","Failed 118-308, 7 not voting","433","23","93","2","237","69","2","4","3","0"
"102","1991-07-10 19:46:00","h","On Passage - House - H.R. 2212 REGARDING THE EXTENTION OF MOST FAVORED NATION TREATMENT TO THE PRODUCTS OF CHINA","Passed 313-112, 8 not voting","433","228","82","3","31","80","1","5","3","0"
"102","1991-07-16 15:26:00","h","Amendment 1 to H.R. 1989","Failed 172-246, 15 not voting","433","12","159","1","241","2","3","11","4","0"
"102","1991-07-16 16:24:00","h","On Passage - House - H.R. 1989 AMERICAN TECHNOLOGY PREEMINENCE ACT OF 1991","Passed 296-122, 15 not voting","433","251","42","3","2","119","1","11","4","0"
"102","1991-02-06 15:32:00","h","SUSPEND RULES AND PASSAS AMENDED: H.R. 232 VETERANS’ HOUSING AND MEMORIAL AFFAIRS AMENDMENTS OF 1991","Passed 411-0, 23 not voting (2/3 required)","434","246","161","4","0","0","0","18","5","0"
"102","1991-07-17 16:01:00","h","Amendment 2 to H.R. 5","Failed 28-399, 6 not voting","433","1","27","0","258","137","4","5","1","0"
"102","1991-07-17 17:37:00","h","Amendment 1 to H.R. 5","Agreed to 252-174, 7 not voting","433","232","17","3","26","147","1","6","1","0"
"102","1991-07-17 18:10:00","h","On Passage - House - H.R. 5 TO AMEND THE NATIONAL LABOR RELATIONS ACT AND THE RAILWAY LABOR ACT TO PREVENT DISCRIMINATION BASED ON PARTICIPATION IN LABOR DISPUTES","Passed 247-182, 5 not voting","434","228","16","3","33","148","1","4","1","0"
"102","1991-07-18 12:29:00","h","Amendment 3 to H.R. 1776","Agreed to 412-6, 15 not voting","433","249","159","4","4","2","0","11","4","0"
"102","1991-07-18 13:33:00","h","Amendment 4 to H.R. 1776","Failed 177-240, 16 not voting","433","46","130","1","206","31","3","12","4","0"
"102","1991-07-18 13:42:00","h","Amendment 5 to H.R. 1776","Failed 204-213, 16 not voting","433","68","135","1","184","26","3","12","4","0"
"102","1991-07-23 16:39:00","h","Amendment 2 to H.R. 1096","Agreed to 254-165, 14 not voting","433","188","63","3","67","97","1","9","5","0"
"102","1991-07-24 15:05:00","h","Amendment 1 to H.R. 2942","Failed 84-339, 10 not voting","433","46","37","1","210","126","3","8","2","0"
"102","1991-07-24 16:30:00","h","Amendment 2 to H.R. 2942","Failed 61-365, 7 not voting","433","2","58","1","258","104","3","4","3","0"
"102","1991-07-24 17:43:00","h","Amendment 5 to H.R. 2942","Failed 64-362, 7 not voting","433","5","59","0","254","104","4","5","2","0"
"102","1991-07-24 18:10:00","h","On Passage - House - H.R. 2942 DEPARTMENT OF TRANSPORTATION AND RELATED AGENCIES APPROPRIATIONS ACT, 1992","Passed 379-47, 7 not voting","433","256","119","4","5","42","0","3","4","0"
"102","1991-07-25 10:28:00","h","On Passage - House - H.R. 2893 AGRICULTURAL DISASTER ASSISTANCE ACT - Under Suspension of the Rules","Passed 328-67, 38 not voting (2/3 required)","433","236","89","3","3","63","1","25","13","0"
"102","1991-07-25 13:26:00","h","Amendment 1 to H.R. 2507","Agreed to 271-142, 20 not voting","433","235","33","3","19","122","1","10","10","0"
"102","1991-07-25 15:02:00","h","Amendment 3 to H.R. 2507","Agreed to 283-137, 13 not voting","433","235","45","3","22","114","1","7","6","0"
"102","1991-07-25 15:30:00","h","Amendment 4 to H.R. 2507","Failed 132-283, 18 not voting","433","24","108","0","229","51","3","11","6","1"
"102","1991-07-25 15:52:00","h","On Passage - House - H.R. 2507 NATIONAL INSTITUTES OF HEALTH REVITALIZATION AMENDMENTS OF 1991","Passed 274-144, 15 not voting","433","231","40","3","25","118","1","8","7","0"
"102","1991-02-21 13:15:00","h","On Passage - House - H.R. 586 REPORTS ON THE COST OF THE PERSIAN GULF OPERATIONS - Under Suspension of the Rules","Passed 393-1, 39 not voting (2/3 required)","433","241","149","3","0","1","0","23","15","1"
"102","1991-07-30 15:59:00","hj","On Passage - House - H J RES 313 OVERSEAS DEFENSE BASE CLOSURE AND REALIGNMENT","Passed 412-14, 7 not voting","433","259","149","4","0","14","0","5","2","0"
"102","1991-07-30 18:36:00","hj","On Passage - House - H J RES 308 DISAPPROVING THE RECOMMENDATIONS OF THE DEFENSE BASE CLOSURE AND REALIGNMENT COMMISSION","Failed 60-364, 9 not voting","433","46","14","0","211","149","4","7","2","0"
"102","1991-07-31 14:19:00","h","On Ordering the Previous Question: H.R. 1455 INTELLIGENCE AUTHORIZATION ACT, FY 1991","Passed 422-0, 11 not voting","433","256","163","3","0","0","0","8","2","1"
"102","1991-07-31 14:38:00","h","On the Conference Report - House - H.R. 1455 INTELLIGENCE AUTHORIZATION ACT, FY 1991","Passed 419-4, 10 not voting","433","254","162","3","3","0","1","7","3","0"
"102","1991-07-31 15:01:00","h","TABLE MOTION TO RECONSIDER CONFERENCE REPORT: H.R. 1455 INTELLIGENCE AUTHORIZATION ACT, FY 1991","Passed 425-3, 5 not voting","433","260","161","4","0","3","0","4","1","0"
"102","1991-07-31 15:23:00","h","On Passage - House - H.R. 3029 FOOD, AGRICULTURE, CONSERVATION, AND TRADE ACT AMENDMENTS OF1991 - Under Suspension of the Rules","Passed 417-5, 11 not voting (2/3 required)","433","255","159","3","1","4","0","8","2","1"
"102","1991-07-31 15:43:00","h","TABLE MOTION TO RECONSIDER: H.R. 3029 FOOD, AGRICULTURE, CONSERVATION, AND TRADE ACT AMENDMENTS OF1991","Passed 422-4, 7 not voting","433","258","160","4","0","4","0","6","1","0"
"102","1991-07-31 16:01:00","h","On Passage - House - H.R. 1107 OPERATION DESERT STORM SILVER CONGRESSIONAL COMMEMORATIVE MEDAL - Under Suspension of the Rules","Passed 381-37, 15 not voting (2/3 required)","433","247","130","4","4","33","0","12","2","0"
"102","1991-07-31 16:31:00","h","TABLE MOTION TO RECONSIDER: H.R. 1107 OPERATION DESERT STORM SILVER CONGRESSIONAL COMMEMORATIVE MEDAL","Passed 408-15, 10 not voting","433","256","148","4","0","15","0","8","2","0"
"102","1991-07-31 16:42:00","h","On Passage - House - H.R. 500 CHRISTOPHER COLUMBUS COIN AND FELLOWSHIP ACT - Under Suspension of the Rules","Passed 408-2, 23 not voting (2/3 required)","433","246","159","3","0","2","0","18","4","1"
"102","1991-07-31 16:58:00","h","TABLE MOTION TO RECONSIDER: H.R. 500 CHRISTOPHER COLUMBUS COIN AND FELLOWSHIP ACT","Passed 418-0, 15 not voting","433","253","162","3","0","0","0","11","3","1"
"102","1991-07-31 18:07:00","h","On the Conference Report - House - H.R. 2427 ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR FY 1992","Passed 393-32, 8 not voting","433","249","141","3","8","23","1","7","1","0"
"102","1991-08-01 11:57:00","h","RECEDE AND CONCUR WITHAMENDMENT IN SENATE AMENDMENT #9: H.R. 2427 ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR FY 1992","Passed 338-80, 15 not voting","433","239","95","4","13","67","0","12","3","0"
"102","1991-02-27 15:56:00","sj","On Passage - House - S J RES 55 COMMEMORATING THE 200TH ANNIVERSARY OF U.S./PORTUGESE DIPLOMATIC RELATIONS - Under Suspension of the Rules","Passed 411-0, 22 not voting (2/3 required)","433","250","157","4","0","0","0","14","8","0"
"102","1991-08-01 14:26:00","h","On Passage - House - H.R. 14 FLIGHT ATTENDANT DUTY TIME ACT","Passed 228-195, 10 not voting","433","196","29","3","61","133","1","7","3","0"
"102","1991-08-01 15:23:00","h","On the Conference Report - House - H.R. 2699 DISTRICT OF COLUMBIA APPROPRIATIONS ACT, 1992","Passed 239-180, 14 not voting","433","197","39","3","58","121","1","9","5","0"
"102","1991-08-02 13:54:00","h","On Passage - House - H.R. 3201 EMERGENCY UNEMPLOYMENT COMPENSATION","Passed 375-45, 13 not voting","433","254","117","4","1","44","0","9","4","0"
"102","1991-09-12 15:23:00","h","Amendment 2 to H.R. 2967","Agreed to 383-0, 49 not voting","432","233","147","3","0","0","0","30","18","1"
"102","1991-09-12 15:55:00","h","On Passage - House - H.R. 2967 OLDER AMERICANS ACT AMENDMENTS OF 1991","Passed 385-0, 47 not voting","432","234","147","4","0","0","0","29","18","0"
"102","1991-09-16 17:55:00","h","PREVIOUS QUESTION ON MOTION TO INSTRUCT CONFEREES: H.R. 2100 DEPARTMENT OF DEFENSE AUTHORIZATION FOR FISCAL YEARS 1992 AND 1993","Passed 220-145, 67 not voting","432","84","135","1","138","4","3","41","26","0"
"102","1991-09-16 18:13:00","h","CLOSING PORTIONS OF CONFERENCE: H.R. 2100 DEPARTMENT OF DEFENSE AUTHORIZATION FOR FISCAL YEARS 1992 AND 1993","Passed 363-0, 69 not voting","432","221","138","4","0","0","0","42","27","0"
"102","1991-09-17 10:48:00","h","Amendment 1 to H.R. 3040","Failed 65-341, 26 not voting","432","57","5","3","190","150","1","15","10","0"
"102","1991-09-17 11:16:00","h","Amendment 1 to H.R. 3040","Failed 84-324, 24 not voting","432","52","31","1","197","124","3","14","10","0"
"102","1991-09-17 11:48:00","h","On Motion to Recommit with Instructions: H.R. 3040 UNEMPLOYMENT INSURANCE REFORM ACT","Failed 129-279, 24 not voting","432","7","121","1","242","34","3","14","10","0"
"102","1991-09-17 11:58:00","h","On Passage - House - H.R. 3040 UNEMPLOYMENT INSURANCE REFORM ACT","Passed 283-125, 24 not voting","432","232","48","3","18","106","1","13","11","0"
"102","1991-09-17 12:37:00","h","DISAGREE TO SENATE AMENDMENTS: H.R. 3291 DISTRICT OF COLUMBIA APPROPRIATIONS F.Y. 1992","Passed 405-0, 27 not voting","432","250","151","4","0","0","0","13","14","0"
"102","1991-03-05 16:11:00","h","SUSPEND THE RULES AND PASS AS AMENDED: H.R. 707 COMMODITY FUTURES IMPROVEMENTS ACT OF 1991","Passed 395-27, 11 not voting (2/3 required)","433","239","153","3","16","10","1","8","2","0"
"102","1991-09-24 13:59:00","h","PREVIOUS QUESTION ON MOTION TO INSTRUCT: H.R. 2707 DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION APPROPRIATIONS, F.Y. 1992","Passed 262-154, 16 not voting","432","233","26","3","19","134","1","11","5","0"
"102","1991-09-24 14:33:00","h","MOTION TO INSTRUCT CONFEREES: H.R. 2622 DEPARTMENT OF THE TREASURY APPROPRIATIONS, F.Y. 1992","Passed 414-0, 18 not voting","432","252","158","4","0","0","0","11","7","0"
"102","1991-09-24 15:46:00","h","PREVIOUS QUESTION ON MOTION TO INSTRUCT: H.R. 2686 DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS, F.Y. 1992","Passed 213-204, 15 not voting","432","190","20","3","63","140","1","10","5","0"
"102","1991-09-24 16:25:00","h","MOTION TO INSTRUCT CONFEREES: H.R. 2942 DEPARTMENT OF TRANSPORTATION AND RELATED AGENCIES APPROPRIATIONS, F.Y. 1992","Passed 413-5, 14 not voting","432","249","160","4","5","0","0","9","5","0"
"102","1991-09-25 13:21:00","h","Amendment 1 to H.R. 2900","Failed 119-298, 15 not voting","432","50","69","0","204","90","4","9","6","0"
"102","1991-09-25 15:05:00","h","On Passage - House - H.R. 2900 GOVERNMENT SPONSORED HOUSING ENTERPRISES FINANCIAL SAFETY AND SOUNDNESS ACT OF 1991","Passed 412-8, 12 not voting","432","253","155","4","4","4","0","6","6","0"
"102","1991-09-25 17:43:00","s","On Passage - House - S 1722 EMERGENCY UNEMPLOYMENT COMPENSATION ACT","Passed 294-127, 11 not voting","432","241","50","3","18","108","1","4","7","0"
"102","1991-09-26 12:44:00","h","ON AGREEING TO THE AMENDMENT: Amendment 1 to H.R. 1426","Failed 159-251, 22 not voting","432","13","145","1","237","11","3","13","9","0"
